stock_code,corp_name,market,corp_code,modify_date,접수번호,법인구분,고유번호,법인명,주식 종류,성명,관계,기초 소유 주식 수,기초 소유 주식 지분 율,기말 소유 주식 수,기말 소유 주식 지분 율,비고
000040,KR모터스,KOSPI,00112378,20230331,20230515000627,Y,00112378,KR모터스,보통주,LVMC HOLDINGS,최대주주,"35,450,412",36.87,"35,450,412",36.87,-
000040,KR모터스,KOSPI,00112378,20230331,20230515000627,Y,00112378,KR모터스,보통주,오세영,특수관계인,"15,345,734",15.96,"15,345,734",15.96,-
000040,KR모터스,KOSPI,00112378,20230331,20230515000627,Y,00112378,KR모터스,보통주,노성석,특수관계인,"30,000",0.03,"130,000",0.13,-
000050,경방,KOSPI,00101628,20221208,20230515000452,Y,00101628,경방,보통주,김담,최대주주본인,"5,752,840",20.98,"5,752,840",20.98,-
000050,경방,KOSPI,00101628,20221208,20230515000452,Y,00101628,경방,보통주,(주)이매진,-,"1,376,916",5.02,"1,376,916",5.02,-
000050,경방,KOSPI,00101628,20221208,20230515000452,Y,00101628,경방,보통주,(주)두레마을,-,"46,580",0.17,"46,580",0.17,-
000050,경방,KOSPI,00101628,20221208,20230515000452,Y,00101628,경방,보통주,(주)경방어패럴,-,"741,403",2.70,"741,403",2.70,-
000050,경방,KOSPI,00101628,20221208,20230515000452,Y,00101628,경방,보통주,(주)브이뱅크컨설팅,-,"150,579",0.55,"150,579",0.55,-
000050,경방,KOSPI,00101628,20221208,20230515000452,Y,00101628,경방,보통주,(주)비엔엔,-,"185,369",0.68,"185,369",0.68,-
000050,경방,KOSPI,00101628,20221208,20230515000452,Y,00101628,경방,보통주,(주)케이블앤텔레콤,-,"68,587",0.25,"68,587",0.25,-
000050,경방,KOSPI,00101628,20221208,20230515000452,Y,00101628,경방,보통주,(주)프로비던스,-,"10,400",0.04,"10,400",0.04,-
000050,경방,KOSPI,00101628,20221208,20230515000452,Y,00101628,경방,보통주,경우회,-,"512,500",1.87,"512,500",1.87,-
